row_index,split
0,train
1,test
2,test
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,test
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,test
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,test
30,test
31,test
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,test
50,train
51,train
52,test
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,test
66,train
67,train
68,test
69,train
70,train
71,train
72,train
73,test
74,train
75,test
76,train
77,test
78,train
79,train
80,test
81,test
82,train
83,test
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,test
92,train
93,train
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,train
102,train
103,train
104,test
105,train
106,train
107,train
108,train
109,train
110,test
111,train
112,train
113,train
114,train
115,train
116,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,test
127,train
128,train
129,train
130,train
131,test
132,test
133,train
134,train
135,train
136,train
137,test
138,train
139,train
140,train
141,train
142,train
143,test
144,train
145,train
146,train
147,test
148,train
149,train
150,train
151,train
152,train
153,train
154,train
155,test
156,train
157,train
158,train
159,test
160,train
161,train
162,train
163,train
164,test
165,train
166,train
167,train
168,train
169,test
170,test
171,train
172,train
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,test
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,test
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,train
202,train
203,test
204,train
205,train
206,train
207,train
208,test
209,train
210,test
211,train
212,train
213,train
214,train
215,train
216,train
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,test
233,train
234,test
235,train
236,train
237,train
238,test
239,train
240,train
241,train
242,test
243,train
244,train
245,train
246,train
247,test
248,train
249,test
250,train
251,test
252,train
253,train
254,train
255,train
256,train
257,test
258,test
259,train
260,train
261,train
262,train
263,train
264,test
265,train
266,train
267,test
268,train
269,train
270,train
271,test
272,train
273,train
274,train
275,train
276,train
277,train
278,train
279,test
280,train
281,test
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,train
291,train
292,train
293,train
294,train
295,train
296,train
297,train
298,train
299,train
300,train
301,test
302,train
303,train
304,test
305,test
306,train
307,test
308,test
309,train
310,test
311,test
312,train
313,test
314,test
315,train
316,test
317,test
318,train
319,test
320,train
321,train
322,train
323,train
324,train
325,train
326,test
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,train
335,train
336,train
337,test
338,test
339,train
340,test
341,train
342,train
343,train
344,train
345,test
346,train
347,test
348,train
349,train
350,train
351,test
352,train
353,test
354,train
355,train
356,test
357,train
358,train
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,train
368,train
369,train
370,train
371,train
372,test
373,train
374,test
375,train
376,train
377,train
378,train
379,test
380,train
381,train
382,train
383,test
384,train
385,train
386,test
387,train
388,train
389,train
390,train
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,test
399,train
400,train
401,train
402,train
403,train
404,train
405,train
406,train
407,train
408,train
409,train
410,train
411,train
412,test
413,train
414,test
415,train
416,test
417,train
418,test
419,train
420,train
421,train
422,train
423,train
424,train
425,train
426,train
427,train
428,test
429,train
430,train
431,train
432,train
433,train
434,test
435,train
436,train
437,train
438,train
439,train
440,test
441,test
442,test
443,train
444,train
445,train
446,train
447,train
448,train
449,test
450,test
451,train
452,train
453,train
454,test
455,test
456,train
457,train
458,train
459,train
460,test
461,train
462,train
463,train
464,test
465,train
466,test
467,train
468,train
469,train
470,train
471,train
472,train
473,train
474,train
475,train
476,test
477,train
478,train
479,train
480,train
481,test
482,train
483,train
484,test
485,train
486,train
487,train
488,test
489,test
490,train
491,train
492,test
493,test
494,test
495,train
496,train
497,train
498,train
499,train
500,test
501,train
502,train
503,train
504,train
505,test
506,test
507,test
508,train
509,train
510,train
511,train
512,train
513,train
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,test
533,train
534,train
535,test
536,train
537,train
538,train
539,train
540,train
541,train
542,train
543,test
544,train
545,train
546,test
547,train
548,train
549,train
550,train
551,train
552,train
553,train
554,train
555,test
556,train
557,train
558,train
559,train
560,train
561,train
562,train
563,train
564,train
565,train
566,test
567,train
568,train
569,train
570,train
571,test
572,train
573,train
574,train
575,test
576,test
577,train
578,train
579,train
580,train
581,test
582,train
583,train
584,train
585,test
586,train
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,test
595,train
596,test
597,train
598,train
599,train
600,test
601,train
602,train
603,train
604,train
605,test
606,train
607,train
608,train
609,train
610,train
611,train
612,train
613,train
614,train
615,test
616,train
617,train
618,train
619,train
620,train
621,train
622,test
623,train
624,train
625,train
626,test
627,test
628,train
629,train
630,train
631,train
632,train
633,train
634,train
635,train
636,test
637,train
638,test
639,train
640,train
641,train
642,test
643,train
644,test
645,train
646,train
647,train
648,train
649,train
650,test
651,test
652,train
653,train
654,train
655,train
656,test
657,test
658,train
659,train
660,train
661,train
662,train
663,train
664,train
665,test
666,test
667,train
668,train
669,test
670,train
671,test
672,train
673,train
674,test
675,train
676,train
677,train
678,train
679,train
680,train
681,train
682,train
683,train
684,test
685,train
686,train
687,train
688,train
689,train
690,train
691,train
692,train
693,train
694,train
695,train
696,train
697,train
698,test
699,train
700,test
701,train
702,train
703,train
704,train
705,train
706,train
707,train
708,train
709,train
710,train
711,train
712,train
713,train
714,train
715,test
716,train
717,train
718,train
719,train
720,train
721,train
722,train
723,train
724,test
725,train
726,train
727,train
728,test
729,test
730,train
731,train
732,train
733,train
734,train
735,test
736,train
737,train
738,train
739,test
740,train
741,train
742,test
743,train
744,train
745,train
746,test
747,train
748,train
749,train
750,test
751,train
752,test
753,train
754,train
755,test
756,train
757,train
758,train
759,test
760,train
761,train
762,train
763,test
764,train
765,train
766,train
767,test
768,train
769,test
770,train
771,train
772,train
773,train
774,train
775,train
776,train
777,train
778,train
779,train
780,train
781,train
782,train
783,test
784,train
785,train
786,test
787,test
788,train
789,train
790,train
791,train
792,train
793,test
794,test
795,test
796,train
797,train
798,test
799,train
800,train
801,train
802,test
803,train
804,train
805,train
806,train
807,train
808,train
809,train
810,train
811,train
812,train
813,train
